,subtoken,count
1223,female,5
1224,umbo,52
1225,lak,494
1226,uelle,302
1227,vent,511
1228,communication,45
1229,code,278
1230,ophili,134
1231,reflex,19
1232,clar,178
1233,än,497
1234,dig,423
1235,olls,25
1236,less,449
1237,igen,189
1238,hink,84
1239,rumbi,9
1240,beau,600
1241,reau,259
1242,file,182
1243,infect,42
1244,vel,712
1245,feed,24
1246,forward,15
1247,crea,62
1248,brun,440
1249,bend,154
1250,akora,9
1251,iden,153
1252,lov,1100
1253,aze,158
1254,tric,211
1255,ule,583
1256,erman,253
1257,fan,786
1258,hour,311
1259,link,302
1260,wan,767
1261,iscal,44
1262,weight,25
1263,from,154
1264,boy,418
1265,†,91
1266,rop,581
1267,lement,585
1268,sville,198
1269,proc,303
1270,plat,350
1271,taka,249
1272,ashik,52
1273,rock,447
1274,—,638
1275,broad,58
1276,imp,499
1277,bid,406
1278,arzan,45
1279,regio,25
1280,ticke,2
1281,symp,53
1282,chu,642
1283,ouli,212
1284,idal,43
1285,garg,89
1286,quer,569
1287,bur,959
1288,met,1046
1289,thorn,114
1290,team,118
1291,flamma,29
1292,kow,290
1293,flex,164
1294,angle,289
1295,with,128
1296,loph,300
1297,alumin,47
1298,imé,437
1299,mice,26
1300,undr,12
1301,km,205
1302,org,1059
1303,export,51
1304,rox,93
1305,ripe,47
1306,jor,383
1307,%,943
1308,regard,72
1309,hiro,175
1310,rama,292
1311,tri,1389
1312,ike,431
1313,reserve,8
1314,hi,5012
1315,kha,292
1316,leg,766
1317,uel,425
1318,kim,298
1319,jah,261
1320,diva,69
1321,arne,202
1322,enni,98
1323,assi,321
1324,hetero,179
1325,world,278
1326,off,1592
1327,rack,96
1328,ď,27
1329,cell,781
1330,ín,601
1331,uzz,141
1332,pique,290
1333,cruiser,11
1334,touche,97
1335,azy,74
1336,port,1049
1337,did,665
1338,pre,1352
1339,nikov,220
1340,uschen,14
1341,dirt,17
1342,hom,1004
1343,child,142
1344,enzi,82
1345,elec,92
1346,mobili,39
1347,zzi,315
1348,rix,398
1349,libr,115
1350,cement,96
1351,ense,581
1352,mph,413
1353,ké,648
1354,las,1243
1355,jk,285
1356,partak,16
1357,clou,93
1358,riva,181
1359,gri,523
1360,slavi,70
1361,tap,304
1362,lens,319
1363,hot,309
1364,coc,433
1365,guy,309
1366,fantas,86
1367,drumm,10
1368,sham,183
1369,apid,68
1370,aria,418
1371,ichne,19
1372,aju,97
1373,lone,148
1374,name,308
1375,tier,871
1376,raub,20
1377,liaison,14
1378,hall,445
1379,avor,91
1380,alter,251
1381,must,126
1382,its,1164
1383,kle,493
1384,our,4978
1385,libation,2
1386,chie,419
1387,poo,48
1388,ò,353
1389,kansa,36
1390,vale,335
1391,rius,127
1392,anarch,51
1393,sent,1111
1394,red,1420
1395,ries,486
1396,hub,242
1397,programme,37
1398,offer,76
1399,errier,74
1400,vol,1097
1401,trade,55
1402,erie,752
1403,juic,13
1404,tube,78
1405,organiz,20
1406,chil,250
1407,ancing,13
1408,inger,290
1409,tell,1028
1410,dron,189
1411,bas,998
1412,nthia,41
1413,arts,165
1414,robin,82
1415,hiat,18
1416,brac,434
1417,malaya,11
1418,lotter,27
1419,weep,8
1420,zer,961
1421,gum,168
1422,ection,15
1423,excellent,14
1424,cing,61
1425,gar,1419
1426,rim,385
1427,stadt,289
1428,akshi,21
1429,namur,24
1430,concussion,3
1431,ș,569
1432,boro,198
1433,igger,28
1434,baum,234
1435,jar,773
1436,embe,99
1437,lier,905
1438,tha,1942
1439,my,3020
1440,orum,535
1441,priv,110
1442,stand,124
1443,elix,29
1444,pig,358
1445,rang,570
1446,arth,110
1447,mast,148
1448,fram,71
1449,adde,116
1450,lick,189
1451,liga,184
1452,oster,163
1453,blue,210
1454,pec,253
1455,hunt,87
1456,kula,77
1457,article,460
1458,est,1616
1459,endocrin,26
1460,agne,642
1461,uz,1634
1462,ke,3305
1463,web,351
1464,ray,537
1465,ladi,221
1466,brie,204
1467,upgrade,4
1468,ador,227
1469,schen,527
1470,zuk,169
1471,quid,58
1472,conduit,25
1473,ack,346
1474,jee,66
1475,recen,50
1476,untle,4
1477,mond,825
1478,uff,598
1479,vé,1823
1480,brand,361
1481,iller,409
1482,bapti,112
1483,ork,392
1484,rallie,20
1485,pond,221
1486,chang,250
1487,ping,289
1488,chel,485
1489,each,71
1490,vari,317
1491,aller,123
1492,ranch,86
1493,ize,610
1494,cousin,33
1495,gado,106
1496,jaw,99
1497,enclos,9
1498,rug,627
1499,cau,539
1500,sub,1019
1501,bag,630
1502,ön,552
1503,suka,109
1504,gal,935
1505,famili,71
1506,intra,116
1507,quadri,191
1508,glio,267
1509,cragg,8
1510,iga,166
1511,strid,41
1512,deal,39
1513,iak,288
1514,serv,232
1515,crossword,2
1516,pharmaci,17
1517,rab,226
1518,kura,177
1519,kawa,305
1520,senbar,5
1521,ther,441
1522,bé,2008
1523,ewing,7
1524,ulna,28
1525,emer,183
1526,arseni,40
1527,ney,454
1528,fig,77
1529,mini,611
1530,armor,82
1531,quar,179
1532,ransfer,1
1533,best,200
1534,imba,122
1535,réa,704
1536,licant,11
1537,lly,156
1538,cro,1165
1539,ave,1219
1540,clero,8
1541,tract,100
1542,lump,39
1543,system,93
1544,home,308
1545,pit,616
1546,bred,91
1547,ô,2026
1548,reli,95
1549,keep,21
1550,lop,321
1551,typ,233
1552,plo,453
1553,vani,162
1554,sparr,23
1555,unk,169
1556,orbit,84
1557,collection,69
1558,laude,91
1559,ham,1306
1560,ministr,106
1561,uar,572
1562,rice,970
1563,product,124
1564,short,65
1565,excess,9
1566,quant,242
1567,т,1214
1568,án,1408
1569,ché,1454
1570,listic,16
1571,idea,435
1572,zike,9
1573,ation,1448
1574,exp,296
1575,ugu,410
1576,mura,264
1577,القديمة,1
1578,amp,514
1579,hore,196
1580,spe,234
1581,ble,827
1582,nova,542
1583,rum,791
1584,raci,150
1585,hyp,186
1586,burn,247
1587,after,78
1588,calcul,64
1589,come,236
1590,determination,6
1591,uba,143
1592,ery,285
1593,ozo,233
1594,grave,189
1595,rol,723
1596,stakeholder,2
1597,rapi,65
1598,lig,261
1599,lea,223
1600,tâ,162
1601,barra,162
1602,by,1889
1603,fire,187
1604,swing,26
1605,than,513
1606,lan,2537
1607,akh,618
1608,radio,454
1609,cassette,19
1610,misse,61
1611,uñ,80
1612,pent,456
1613,late,324
1614,kola,200
1615,poli,299
1616,borough,102
1617,dress,68
1618,trophi,136
1619,stall,51
1620,lay,470
1621,tche,155
1622,zle,67
1623,spaces,27
1624,femi,9
1625,cong,236
1626,liste,510
1627,brin,143
1628,habit,239
1629,toll,131
1630,auto,1031
1631,oët,83
1632,assur,50
1633,cla,559
1634,enem,70
1635,jac,494
1636,chuan,63
1637,lash,73
1638,erum,31
1639,hip,150
1640,ἄνθος,1
1641,ligh,42
1642,tens,269
1643,wood,516
1644,companion,5
1645,ring,468
1646,erve,93
1647,grim,283
1648,elli,676
1649,till,468
1650,akis,155
1651,itzer,90
1652,pull,104
1653,glia,449
1654,vac,407
1655,poul,321
1656,ollett,37
1657,demo,211
1658,euros,59
1659,mage,182
1660,locke,36
1661,contract,64
1662,mad,1003
1663,zipp,14
1664,jet,463
1665,avio,34
1666,vital,63
1667,jok,121
1668,wiki,1105
1669,reader,18
1670,als,857
1671,media,304
1672,zone,240
1673,turn,188
1674,logue,370
1675,soft,109
1676,bomb,170
1677,maker,147
1678,ethno,104
1679,gla,270
1680,uko,172
1681,סף,1
1682,י,85
1683,cord,415
1684,viz,128
1685,watch,86
1686,global,79
1687,assimilat,8
1688,rate,523
1689,tradi,24
1690,older,81
1691,champion,78
1692,football,84
1693,adopt,32
1694,eries,237
1695,nable,87
1696,&,775
1697,erran,168
1698,eans,15
1699,rob,167
1700,rid,715
1701,lí,337
1702,axi,257
1703,was,606
1704,golden,39
1705,rez,712
1706,ܕܝܪܐ,1
1707,geni,194
1708,radi,337
1709,aga,743
1710,day,470
1711,obsessi,10
1712,service,77
1713,interi,32
1714,arra,304
1715,yung,34
1716,shir,298
1717,zian,133
1718,metro,131
1719,polite,36
1720,demar,98
1721,hop,421
1722,twins,5
1723,ity,360
1724,uci,165
1725,rap,551
1726,rib,372
1727,pai,494
1728,delph,46
1729,box,418
1730,sides,98
1731,cosmo,106
1732,polit,105
1733,bale,108
1734,comb,190
1735,edge,82
1736,ignan,297
1737,like,93
1738,ynops,11
1739,shire,125
1740,civil,82
1741,landmark,6
1742,live,259
1743,phant,166
1744,plasm,85
1745,spear,36
1746,fish,129
1747,quint,103
1748,brass,147
1749,rub,452
1750,oxy,466
1751,tru,893
1752,desma,43
1753,ebra,33
1754,uzzi,117
1755,onalit,13
1756,rip,333
1757,verifie,6
1758,kowsk,297
1759,crimin,55
1760,pez,146
1761,vid,467
1762,cavit,24
1763,repent,17
1764,margin,71
1765,holz,136
1766,bro,1068
1767,once,314
1768,lish,50
1769,turbo,83
1770,bill,539
1771,even,457
1772,teste,73
1773,ouver,375
1774,crest,55
1775,bot,917
1776,avin,147
1777,omba,103
1778,canal,105
1779,hous,245
1780,mart,518
1781,azma,22
1782,ulation,67
1783,hank,64
1784,ick,369
1785,slav,218
1786,rides,125
1787,azar,248
1788,townhouse,2
1789,ouille,438
1790,´,371
1791,tchen,36
1792,ná,223
1793,jung,179
1794,reconstruct,10
1795,lian,515
1796,ukur,44
1797,glut,99
1798,ome,774
1799,abou,359
1800,ǎ,76
1801,ochen,79
1802,itten,71
1803,masse,152
1804,deck,110
1805,mash,129
1806,architect,48
1807,café,51
1808,alz,246
1809,led,500
1810,science,167
1811,quill,254
1812,annul,63
1813,usch,244
1814,imbre,28
1815,blur,18
1816,nock,57
1817,space,234
1818,kong,162
