,Stimulus,Stdev,Subtokens
39499,discontinyes,1.617802197617893,"[['dis', '##con', '##ti', '##n', '##y', '##es'], ['disc', '##on', '##tin', '##y', '##es'], ['disco', '##n', '##tin', '##ye', '##s'], ['disco', '##n', '##tin', '##ye', '##s'], ['disco', '##n', '##tin', '##ye', '##s'], ['discontin', '##yes'], ['discontin', '##yes'], ['discontin', '##yes'], ['discontin', '##yes']]"
55741,circunvesír,1.617802197617893,"[['ci', '##r', '##cu', '##n', '##ve', '##s', '##í', '##r'], ['circ', '##un', '##ves', '##í', '##r'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír'], ['circun', '##ves', '##ír']]"
9337,bronecedor,1.5947444549341472,"[['b', '##ro', '##n', '##ec', '##e', '##do', '##r'], ['b', '##ron', '##ece', '##dor'], ['bro', '##ne', '##ce', '##dor'], ['bron', '##ecedor'], ['bron', '##ece', '##dor'], ['bron', '##ecedor'], ['bron', '##ecedor'], ['bron', '##ecedor'], ['bron', '##ecedor']]"
56233,astronádseco,1.5947444549341472,"[['as', '##tro', '##n', '##á', '##d', '##se', '##co'], ['as', '##tro', '##n', '##á', '##d', '##se', '##co'], ['ast', '##ron', '##á', '##d', '##se', '##co'], ['astro', '##n', '##ád', '##se', '##co'], ['astro', '##n', '##á', '##d', '##se', '##co'], ['astron', '##ád', '##seco'], ['astron', '##ád', '##seco'], ['astron', '##ád', '##seco'], ['astron', '##ád', '##se', '##co']]"
10428,cláusidra,1.594744454934147,"[['c', '##l', '##á', '##us', '##id', '##ra'], ['cl', '##á', '##us', '##id', '##ra'], ['cl', '##á', '##us', '##id', '##ra'], ['cláus', '##idra'], ['cláus', '##idra'], ['cláus', '##idra'], ['cláus', '##idra'], ['cláus', '##idra'], ['cláus', '##idra']]"
22363,leñapiorismo,1.594744454934147,"[['le', '##ñ', '##a', '##p', '##io', '##ri', '##s', '##mo'], ['le', '##ña', '##p', '##ior', '##ismo'], ['le', '##ña', '##p', '##ior', '##ismo'], ['leña', '##pio', '##rismo'], ['le', '##ña', '##pio', '##rismo'], ['leña', '##pio', '##rismo'], ['leña', '##pio', '##rismo'], ['leña', '##pio', '##rismo'], ['leña', '##pio', '##rismo']]"
28576,leñapiorista,1.594744454934147,"[['le', '##ñ', '##a', '##p', '##io', '##ri', '##st', '##a'], ['le', '##ña', '##p', '##ior', '##ista'], ['le', '##ña', '##p', '##ior', '##ista'], ['leña', '##pio', '##rista'], ['le', '##ña', '##pio', '##rista'], ['leña', '##pio', '##rista'], ['leña', '##pio', '##rista'], ['leña', '##pio', '##rista'], ['leña', '##pio', '##rista']]"
41671,tricórpide,1.594744454934147,"[['t', '##ri', '##c', '##ó', '##r', '##p', '##id', '##e'], ['tri', '##có', '##r', '##p', '##ide'], ['tri', '##có', '##r', '##p', '##ide'], ['tric', '##ór', '##pide'], ['tric', '##ór', '##p', '##ide'], ['tric', '##ór', '##pide'], ['tric', '##ór', '##pide'], ['tric', '##ór', '##pide'], ['tric', '##ór', '##pide']]"
46515,incanstanmia,1.594744454934147,"[['in', '##ca', '##n', '##st', '##an', '##mi', '##a'], ['inc', '##an', '##sta', '##n', '##mi', '##a'], ['inca', '##n', '##sta', '##n', '##mi', '##a'], ['incans', '##tan', '##mia'], ['incans', '##tan', '##mia'], ['incans', '##tan', '##mia'], ['incans', '##tan', '##mia'], ['incans', '##tan', '##mia'], ['incans', '##tan', '##mia']]"
48794,tricólpide,1.594744454934147,"[['t', '##ri', '##c', '##ó', '##l', '##p', '##id', '##e'], ['tri', '##có', '##l', '##p', '##ide'], ['tri', '##có', '##l', '##p', '##ide'], ['tric', '##ól', '##pide'], ['tric', '##ól', '##p', '##ide'], ['tric', '##ól', '##pide'], ['tric', '##ól', '##pide'], ['tric', '##ól', '##pide'], ['tric', '##ól', '##pide']]"
