,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
10709,heucing,N,7,"['he', 'u', 'c', 'ing']",3,0.43
10710,heve,N,4,"['he', 've']",1,0.5
10711,heves,N,5,"['he', 've', 's']",2,0.4
10712,hevs,N,4,"['he', 'v', 's']",2,0.25
10713,hewser,N,6,"['he', 'w', 's', 'er']",3,0.33
10714,hewsest,N,7,"['he', 'w', 's', 'est']",3,0.43
10715,hewsy,N,5,"['he', 'w', 's', 'y']",3,0.2
10716,heynogs,N,7,"['he', 'y', 'nog', 's']",3,0.43
10717,heytus,N,6,"['he', 'y', 't', 'u', 's']",4,0.17
10718,hez,N,3,"['he', 'z']",1,0.33
10719,hiban,N,5,"['hi', 'ban']",1,0.6
10720,hibo,N,4,"['hi', 'bo']",1,0.5
10721,hice,N,4,"['hi', 'ce']",1,0.5
10722,hiced,N,5,"['hi', 'ce', 'd']",2,0.4
10723,hiched,N,6,"['hi', 'che', 'd']",2,0.5
10724,hiching,N,7,"['hi', 'ch', 'ing']",2,0.57
10725,hichy,N,5,"['hi', 'ch', 'y']",2,0.4
10726,hicked,N,6,"['hi', 'ck', 'e', 'd']",3,0.33
10727,hictanes,N,8,"['hi', 'c', 't', 'an', 'e', 's']",5,0.25
10728,hidesman,N,8,"['hi', 'de', 's', 'man']",3,0.5
10729,hidge,N,5,"['hi', 'd', 'ge']",2,0.4
10730,hids,N,4,"['hi', 'd', 's']",2,0.25
10731,hiecal,N,6,"['hi', 'e', 'c', 'al']",3,0.33
10732,hieces,N,6,"['hi', 'e', 'ces']",2,0.5
10733,hieder,N,6,"['hi', 'e', 'de', 'r']",3,0.33
10734,hief,N,4,"['hi', 'e', 'f']",2,0.25
10735,hiekes,N,6,"['hi', 'e', 'k', 'e', 's']",4,0.17
10736,hieking,N,7,"['hi', 'e', 'k', 'ing']",3,0.43
10737,hiel,N,4,"['hi', 'el']",1,0.5
10738,hieless,N,7,"['hi', 'e', 'les', 's']",3,0.43
10739,hiended,N,7,"['hi', 'en', 'de', 'd']",3,0.43
10740,hiercer,N,7,"['hi', 'er', 'c', 'er']",3,0.43
10741,hiesing,N,7,"['hi', 'e', 's', 'ing']",3,0.43
10742,hietal,N,6,"['hi', 'e', 't', 'al']",3,0.33
10743,hiew,N,4,"['hi', 'e', 'w']",2,0.25
10744,hif,N,3,"['hi', 'f']",1,0.33
10745,hifers,N,6,"['hi', 'fer', 's']",2,0.5
10746,hiffed,N,6,"['hi', 'f', 'f', 'e', 'd']",4,0.17
10747,hiftish,N,7,"['hi', 'f', 't', 'is', 'h']",4,0.29
10748,hig,N,3,"['hi', 'g']",1,0.33
10749,highto,N,6,"['h', 'igh', 'to']",2,0.5
10750,hignal,N,6,"['hi', 'g', 'n', 'al']",3,0.33
10751,hihick,N,6,"['hi', 'hi', 'ck']",2,0.5
